task_id,jira_ticket,status,assigned_to,priority,created_at,completed_at
1,TASK-1000,In Progress,Eve,Medium,2025-01-01 00:00:00,2025-01-02 08:00:00
2,TASK-1001,Done,Bob,Medium,2025-01-01 01:00:00,2025-01-03 23:00:00
3,TASK-1002,Done,Eve,Low,2025-01-01 02:00:00,2025-01-03 08:00:00
4,TASK-1003,Blocked,David,High,2025-01-01 03:00:00,2025-01-01 11:00:00
5,TASK-1004,Blocked,Eve,Low,2025-01-01 04:00:00,2025-01-01 07:00:00
6,TASK-1005,Done,David,Medium,2025-01-01 05:00:00,2025-01-02 06:00:00
7,TASK-1006,Done,David,Critical,2025-01-01 06:00:00,2025-01-03 02:00:00
8,TASK-1007,Done,David,Critical,2025-01-01 07:00:00,2025-01-01 09:00:00
9,TASK-1008,In Progress,David,Medium,2025-01-01 08:00:00,2025-01-01 23:00:00
10,TASK-1009,Done,David,Medium,2025-01-01 09:00:00,2025-01-01 10:00:00
11,TASK-1010,Review,Bob,Critical,2025-01-01 10:00:00,2025-01-02 21:00:00
12,TASK-1011,To Do,Alice,Low,2025-01-01 11:00:00,2025-01-02 08:00:00
13,TASK-1012,Done,Charlie,Low,2025-01-01 12:00:00,2025-01-03 07:00:00
14,TASK-1013,To Do,Alice,Medium,2025-01-01 13:00:00,2025-01-02 19:00:00
15,TASK-1014,In Progress,David,Low,2025-01-01 14:00:00,2025-01-02 07:00:00
16,TASK-1015,To Do,Bob,Critical,2025-01-01 15:00:00,2025-01-04 04:00:00
17,TASK-1016,In Progress,Eve,Low,2025-01-01 16:00:00,2025-01-02 14:00:00
18,TASK-1017,Review,Bob,Medium,2025-01-01 17:00:00,2025-01-02 19:00:00
19,TASK-1018,In Progress,David,Critical,2025-01-01 18:00:00,2025-01-02 19:00:00
20,TASK-1019,In Progress,Bob,Low,2025-01-01 19:00:00,2025-01-02 14:00:00
21,TASK-1020,Blocked,Bob,High,2025-01-01 20:00:00,2025-01-04 10:00:00
22,TASK-1021,Done,David,Critical,2025-01-01 21:00:00,2025-01-04 15:00:00
23,TASK-1022,Done,Bob,Critical,2025-01-01 22:00:00,2025-01-04 11:00:00
24,TASK-1023,Review,Charlie,High,2025-01-01 23:00:00,2025-01-04 07:00:00
25,TASK-1024,Review,Charlie,High,2025-01-02 00:00:00,2025-01-02 17:00:00
26,TASK-1025,Done,Bob,Critical,2025-01-02 01:00:00,2025-01-02 05:00:00
27,TASK-1026,Blocked,Eve,High,2025-01-02 02:00:00,2025-01-02 19:00:00
28,TASK-1027,Done,David,Medium,2025-01-02 03:00:00,2025-01-03 22:00:00
29,TASK-1028,Blocked,Charlie,Medium,2025-01-02 04:00:00,2025-01-03 15:00:00
30,TASK-1029,Review,Eve,Medium,2025-01-02 05:00:00,2025-01-04 18:00:00
31,TASK-1030,To Do,Bob,Critical,2025-01-02 06:00:00,2025-01-04 06:00:00
32,TASK-1031,Review,Eve,High,2025-01-02 07:00:00,2025-01-04 20:00:00
33,TASK-1032,Review,Alice,High,2025-01-02 08:00:00,2025-01-04 10:00:00
34,TASK-1033,In Progress,Charlie,Low,2025-01-02 09:00:00,2025-01-04 10:00:00
35,TASK-1034,In Progress,Bob,Low,2025-01-02 10:00:00,2025-01-03 03:00:00
36,TASK-1035,In Progress,David,High,2025-01-02 11:00:00,2025-01-03 11:00:00
37,TASK-1036,In Progress,Bob,High,2025-01-02 12:00:00,2025-01-04 07:00:00
38,TASK-1037,Blocked,David,High,2025-01-02 13:00:00,2025-01-05 04:00:00
39,TASK-1038,Done,Bob,Critical,2025-01-02 14:00:00,2025-01-04 17:00:00
40,TASK-1039,To Do,Eve,High,2025-01-02 15:00:00,2025-01-03 00:00:00
41,TASK-1040,Review,Eve,Low,2025-01-02 16:00:00,2025-01-04 15:00:00
42,TASK-1041,Blocked,Eve,Critical,2025-01-02 17:00:00,2025-01-04 10:00:00
43,TASK-1042,To Do,Alice,High,2025-01-02 18:00:00,2025-01-03 18:00:00
44,TASK-1043,Blocked,David,Low,2025-01-02 19:00:00,2025-01-05 01:00:00
45,TASK-1044,Blocked,Eve,Critical,2025-01-02 20:00:00,2025-01-02 22:00:00
46,TASK-1045,Review,Alice,High,2025-01-02 21:00:00,2025-01-05 10:00:00
47,TASK-1046,Done,David,High,2025-01-02 22:00:00,2025-01-03 08:00:00
48,TASK-1047,In Progress,Bob,High,2025-01-02 23:00:00,2025-01-04 07:00:00
49,TASK-1048,Done,Alice,Critical,2025-01-03 00:00:00,2025-01-05 06:00:00
50,TASK-1049,Review,Charlie,Low,2025-01-03 01:00:00,2025-01-05 00:00:00
51,TASK-1050,Review,Alice,Low,2025-01-03 02:00:00,2025-01-03 13:00:00
52,TASK-1051,Review,Alice,Medium,2025-01-03 03:00:00,2025-01-04 22:00:00
53,TASK-1052,To Do,David,High,2025-01-03 04:00:00,2025-01-05 18:00:00
54,TASK-1053,Done,Bob,Medium,2025-01-03 05:00:00,2025-01-04 11:00:00
55,TASK-1054,Done,Charlie,Medium,2025-01-03 06:00:00,2025-01-05 00:00:00
56,TASK-1055,Blocked,Eve,Low,2025-01-03 07:00:00,2025-01-05 22:00:00
57,TASK-1056,Blocked,Eve,Critical,2025-01-03 08:00:00,2025-01-06 05:00:00
58,TASK-1057,Blocked,Alice,Critical,2025-01-03 09:00:00,2025-01-05 10:00:00
59,TASK-1058,Review,David,Low,2025-01-03 10:00:00,2025-01-05 19:00:00
60,TASK-1059,Done,David,Critical,2025-01-03 11:00:00,2025-01-06 08:00:00
61,TASK-1060,Review,Eve,Medium,2025-01-03 12:00:00,2025-01-05 14:00:00
62,TASK-1061,To Do,Charlie,High,2025-01-03 13:00:00,2025-01-06 08:00:00
63,TASK-1062,Blocked,Bob,Low,2025-01-03 14:00:00,2025-01-04 05:00:00
64,TASK-1063,Review,Charlie,High,2025-01-03 15:00:00,2025-01-04 11:00:00
65,TASK-1064,Review,Bob,Critical,2025-01-03 16:00:00,2025-01-05 00:00:00
66,TASK-1065,To Do,Eve,High,2025-01-03 17:00:00,2025-01-06 04:00:00
67,TASK-1066,In Progress,Bob,Critical,2025-01-03 18:00:00,2025-01-04 03:00:00
68,TASK-1067,Done,David,Critical,2025-01-03 19:00:00,2025-01-04 23:00:00
69,TASK-1068,In Progress,Alice,Medium,2025-01-03 20:00:00,2025-01-05 16:00:00
70,TASK-1069,Blocked,Alice,Critical,2025-01-03 21:00:00,2025-01-03 23:00:00
71,TASK-1070,Review,Eve,Medium,2025-01-03 22:00:00,2025-01-06 11:00:00
72,TASK-1071,To Do,David,Medium,2025-01-03 23:00:00,2025-01-06 23:00:00
73,TASK-1072,To Do,Charlie,Medium,2025-01-04 00:00:00,2025-01-05 22:00:00
74,TASK-1073,Done,David,Low,2025-01-04 01:00:00,2025-01-05 12:00:00
75,TASK-1074,In Progress,Alice,Low,2025-01-04 02:00:00,2025-01-06 14:00:00
76,TASK-1075,Done,Alice,Critical,2025-01-04 03:00:00,2025-01-05 08:00:00
77,TASK-1076,Review,David,Medium,2025-01-04 04:00:00,2025-01-07 03:00:00
78,TASK-1077,Done,David,Low,2025-01-04 05:00:00,2025-01-05 18:00:00
79,TASK-1078,To Do,Alice,Medium,2025-01-04 06:00:00,2025-01-06 01:00:00
80,TASK-1079,To Do,Charlie,High,2025-01-04 07:00:00,2025-01-04 21:00:00
81,TASK-1080,Blocked,Eve,High,2025-01-04 08:00:00,2025-01-05 08:00:00
82,TASK-1081,Blocked,Eve,High,2025-01-04 09:00:00,2025-01-06 22:00:00
83,TASK-1082,Review,David,Critical,2025-01-04 10:00:00,2025-01-05 23:00:00
84,TASK-1083,In Progress,Eve,Medium,2025-01-04 11:00:00,2025-01-05 08:00:00
85,TASK-1084,Done,Alice,High,2025-01-04 12:00:00,2025-01-06 00:00:00
86,TASK-1085,Review,Alice,Low,2025-01-04 13:00:00,2025-01-05 05:00:00
87,TASK-1086,Blocked,David,High,2025-01-04 14:00:00,2025-01-07 05:00:00
88,TASK-1087,Done,David,High,2025-01-04 15:00:00,2025-01-05 05:00:00
89,TASK-1088,Blocked,David,High,2025-01-04 16:00:00,2025-01-06 02:00:00
90,TASK-1089,Done,Charlie,Critical,2025-01-04 17:00:00,2025-01-07 16:00:00
91,TASK-1090,In Progress,Eve,Low,2025-01-04 18:00:00,2025-01-06 15:00:00
92,TASK-1091,Review,David,Medium,2025-01-04 19:00:00,2025-01-05 23:00:00
93,TASK-1092,Done,Bob,Low,2025-01-04 20:00:00,2025-01-05 09:00:00
94,TASK-1093,To Do,Bob,Medium,2025-01-04 21:00:00,2025-01-07 10:00:00
95,TASK-1094,To Do,Alice,Critical,2025-01-04 22:00:00,2025-01-07 16:00:00
96,TASK-1095,Done,Eve,Critical,2025-01-04 23:00:00,2025-01-05 13:00:00
97,TASK-1096,Done,David,Critical,2025-01-05 00:00:00,2025-01-05 21:00:00
98,TASK-1097,Done,Bob,Critical,2025-01-05 01:00:00,2025-01-06 03:00:00
99,TASK-1098,To Do,Eve,Medium,2025-01-05 02:00:00,2025-01-05 13:00:00
100,TASK-1099,To Do,Alice,High,2025-01-05 03:00:00,2025-01-07 18:00:00
101,TASK-1100,Done,Charlie,Medium,2025-01-05 04:00:00,2025-01-05 06:00:00
102,TASK-1101,Blocked,Eve,Low,2025-01-05 05:00:00,2025-01-06 11:00:00
103,TASK-1102,Blocked,Eve,Critical,2025-01-05 06:00:00,2025-01-07 02:00:00
104,TASK-1103,In Progress,Charlie,Critical,2025-01-05 07:00:00,2025-01-08 05:00:00
105,TASK-1104,Review,Eve,Low,2025-01-05 08:00:00,2025-01-06 13:00:00
106,TASK-1105,Blocked,Alice,Medium,2025-01-05 09:00:00,2025-01-06 00:00:00
107,TASK-1106,To Do,Alice,High,2025-01-05 10:00:00,2025-01-07 20:00:00
108,TASK-1107,Blocked,Charlie,High,2025-01-05 11:00:00,2025-01-07 18:00:00
109,TASK-1108,In Progress,David,Low,2025-01-05 12:00:00,2025-01-07 17:00:00
110,TASK-1109,In Progress,Bob,High,2025-01-05 13:00:00,2025-01-08 00:00:00
111,TASK-1110,Review,David,Medium,2025-01-05 14:00:00,2025-01-07 09:00:00
112,TASK-1111,Blocked,Eve,Medium,2025-01-05 15:00:00,2025-01-08 02:00:00
113,TASK-1112,To Do,Bob,Low,2025-01-05 16:00:00,2025-01-06 00:00:00
114,TASK-1113,To Do,Charlie,Medium,2025-01-05 17:00:00,2025-01-08 11:00:00
115,TASK-1114,Done,Charlie,Critical,2025-01-05 18:00:00,2025-01-07 07:00:00
116,TASK-1115,To Do,Bob,Low,2025-01-05 19:00:00,2025-01-07 05:00:00
117,TASK-1116,Review,Alice,Medium,2025-01-05 20:00:00,2025-01-07 12:00:00
118,TASK-1117,Review,Bob,Low,2025-01-05 21:00:00,2025-01-07 17:00:00
119,TASK-1118,To Do,Eve,High,2025-01-05 22:00:00,2025-01-07 01:00:00
120,TASK-1119,To Do,Alice,Medium,2025-01-05 23:00:00,2025-01-06 14:00:00
121,TASK-1120,Done,Charlie,Critical,2025-01-06 00:00:00,2025-01-06 17:00:00
122,TASK-1121,To Do,Bob,Medium,2025-01-06 01:00:00,2025-01-08 05:00:00
123,TASK-1122,Done,David,Low,2025-01-06 02:00:00,2025-01-08 20:00:00
124,TASK-1123,Done,David,Low,2025-01-06 03:00:00,2025-01-09 02:00:00
125,TASK-1124,To Do,Eve,Medium,2025-01-06 04:00:00,2025-01-08 10:00:00
126,TASK-1125,In Progress,David,Critical,2025-01-06 05:00:00,2025-01-08 22:00:00
127,TASK-1126,In Progress,Bob,Critical,2025-01-06 06:00:00,2025-01-07 05:00:00
128,TASK-1127,Done,Bob,Critical,2025-01-06 07:00:00,2025-01-07 23:00:00
129,TASK-1128,To Do,David,Low,2025-01-06 08:00:00,2025-01-08 08:00:00
130,TASK-1129,In Progress,Bob,Medium,2025-01-06 09:00:00,2025-01-08 07:00:00
131,TASK-1130,To Do,Eve,High,2025-01-06 10:00:00,2025-01-07 04:00:00
132,TASK-1131,To Do,Alice,Low,2025-01-06 11:00:00,2025-01-08 08:00:00
133,TASK-1132,To Do,Eve,Critical,2025-01-06 12:00:00,2025-01-09 06:00:00
134,TASK-1133,Blocked,Eve,Medium,2025-01-06 13:00:00,2025-01-09 07:00:00
135,TASK-1134,To Do,Bob,Critical,2025-01-06 14:00:00,2025-01-06 16:00:00
136,TASK-1135,Blocked,Alice,High,2025-01-06 15:00:00,2025-01-07 17:00:00
137,TASK-1136,Done,Bob,Critical,2025-01-06 16:00:00,2025-01-06 18:00:00
138,TASK-1137,In Progress,Charlie,Critical,2025-01-06 17:00:00,2025-01-08 11:00:00
139,TASK-1138,In Progress,Bob,High,2025-01-06 18:00:00,2025-01-08 05:00:00
140,TASK-1139,In Progress,Bob,Medium,2025-01-06 19:00:00,2025-01-08 02:00:00
141,TASK-1140,In Progress,Bob,Low,2025-01-06 20:00:00,2025-01-09 08:00:00
142,TASK-1141,In Progress,Alice,Medium,2025-01-06 21:00:00,2025-01-09 18:00:00
143,TASK-1142,In Progress,Bob,High,2025-01-06 22:00:00,2025-01-08 12:00:00
144,TASK-1143,In Progress,Alice,Critical,2025-01-06 23:00:00,2025-01-08 05:00:00
145,TASK-1144,Done,David,Medium,2025-01-07 00:00:00,2025-01-07 05:00:00
146,TASK-1145,To Do,Charlie,Low,2025-01-07 01:00:00,2025-01-09 04:00:00
147,TASK-1146,Review,Alice,High,2025-01-07 02:00:00,2025-01-07 11:00:00
148,TASK-1147,Blocked,David,Medium,2025-01-07 03:00:00,2025-01-09 21:00:00
149,TASK-1148,Review,Alice,Low,2025-01-07 04:00:00,2025-01-09 17:00:00
150,TASK-1149,Review,Alice,High,2025-01-07 05:00:00,2025-01-08 08:00:00
151,TASK-1150,To Do,Charlie,Low,2025-01-07 06:00:00,2025-01-09 12:00:00
152,TASK-1151,To Do,Eve,High,2025-01-07 07:00:00,2025-01-09 01:00:00
153,TASK-1152,To Do,Eve,Critical,2025-01-07 08:00:00,2025-01-07 18:00:00
154,TASK-1153,In Progress,Alice,Medium,2025-01-07 09:00:00,2025-01-08 13:00:00
155,TASK-1154,Done,Bob,Low,2025-01-07 10:00:00,2025-01-09 10:00:00
156,TASK-1155,In Progress,David,High,2025-01-07 11:00:00,2025-01-07 23:00:00
157,TASK-1156,Done,Bob,Low,2025-01-07 12:00:00,2025-01-09 16:00:00
158,TASK-1157,Done,Bob,Low,2025-01-07 13:00:00,2025-01-08 18:00:00
159,TASK-1158,Review,Alice,Medium,2025-01-07 14:00:00,2025-01-09 01:00:00
160,TASK-1159,Review,Alice,Critical,2025-01-07 15:00:00,2025-01-08 03:00:00
161,TASK-1160,Done,Alice,Low,2025-01-07 16:00:00,2025-01-10 06:00:00
162,TASK-1161,Done,Alice,High,2025-01-07 17:00:00,2025-01-09 04:00:00
163,TASK-1162,In Progress,Eve,High,2025-01-07 18:00:00,2025-01-09 14:00:00
164,TASK-1163,In Progress,Alice,Critical,2025-01-07 19:00:00,2025-01-09 02:00:00
165,TASK-1164,Review,Eve,High,2025-01-07 20:00:00,2025-01-09 22:00:00
166,TASK-1165,To Do,Eve,Critical,2025-01-07 21:00:00,2025-01-08 17:00:00
167,TASK-1166,Done,Alice,High,2025-01-07 22:00:00,2025-01-09 15:00:00
168,TASK-1167,In Progress,Charlie,Medium,2025-01-07 23:00:00,2025-01-08 02:00:00
169,TASK-1168,Review,David,Low,2025-01-08 00:00:00,2025-01-09 06:00:00
170,TASK-1169,In Progress,Bob,Medium,2025-01-08 01:00:00,2025-01-10 23:00:00
171,TASK-1170,Done,Eve,Low,2025-01-08 02:00:00,2025-01-08 14:00:00
172,TASK-1171,Done,David,Low,2025-01-08 03:00:00,2025-01-08 12:00:00
173,TASK-1172,Blocked,Charlie,Low,2025-01-08 04:00:00,2025-01-10 03:00:00
174,TASK-1173,To Do,Bob,Medium,2025-01-08 05:00:00,2025-01-10 12:00:00
175,TASK-1174,Blocked,Bob,Low,2025-01-08 06:00:00,2025-01-09 00:00:00
176,TASK-1175,Review,Eve,Medium,2025-01-08 07:00:00,2025-01-10 23:00:00
177,TASK-1176,In Progress,Alice,Critical,2025-01-08 08:00:00,2025-01-11 00:00:00
178,TASK-1177,Review,Charlie,High,2025-01-08 09:00:00,2025-01-08 23:00:00
179,TASK-1178,Done,Eve,High,2025-01-08 10:00:00,2025-01-11 02:00:00
180,TASK-1179,Blocked,Charlie,Low,2025-01-08 11:00:00,2025-01-11 05:00:00
181,TASK-1180,Blocked,Alice,Medium,2025-01-08 12:00:00,2025-01-11 05:00:00
182,TASK-1181,Blocked,Alice,High,2025-01-08 13:00:00,2025-01-11 01:00:00
183,TASK-1182,Review,Eve,Medium,2025-01-08 14:00:00,2025-01-09 11:00:00
184,TASK-1183,Done,Alice,Medium,2025-01-08 15:00:00,2025-01-10 20:00:00
185,TASK-1184,In Progress,David,Low,2025-01-08 16:00:00,2025-01-10 12:00:00
186,TASK-1185,In Progress,Bob,High,2025-01-08 17:00:00,2025-01-10 22:00:00
187,TASK-1186,Review,Eve,Low,2025-01-08 18:00:00,2025-01-09 14:00:00
188,TASK-1187,Blocked,Charlie,Low,2025-01-08 19:00:00,2025-01-09 12:00:00
189,TASK-1188,To Do,David,High,2025-01-08 20:00:00,2025-01-10 21:00:00
