timestamp,cpu_usage,memory_usage,disk_io,network_latency
2025-01-01 00:00:00,68.9,23.21,608.96,125.04
2025-01-01 01:00:00,39.61,63.46,744.56,95.37
2025-01-01 02:00:00,89.62,44.32,639.13,69.53
2025-01-01 03:00:00,13.33,34.64,844.12,70.96
2025-01-01 04:00:00,45.53,60.58,963.17,83.15
2025-01-01 05:00:00,92.24,43.91,408.27,141.28
2025-01-01 06:00:00,56.58,57.61,304.62,120.06
2025-01-01 07:00:00,46.0,52.21,481.24,92.48
2025-01-01 08:00:00,58.32,60.93,359.14,16.11
2025-01-01 09:00:00,58.95,48.02,653.46,16.48
2025-01-01 10:00:00,72.19,68.84,920.67,1.47
2025-01-01 11:00:00,20.85,32.6,225.2,193.57
2025-01-01 12:00:00,31.25,68.76,190.72,2.05
2025-01-01 13:00:00,59.35,48.82,330.41,21.52
2025-01-01 14:00:00,83.7,81.2,753.49,63.6
2025-01-01 15:00:00,57.76,56.07,633.67,161.68
2025-01-01 16:00:00,30.28,88.12,191.99,192.46
2025-01-01 17:00:00,67.79,62.14,926.88,158.21
2025-01-01 18:00:00,72.89,35.67,811.08,138.42
2025-01-01 19:00:00,30.25,77.53,120.72,104.74
2025-01-01 20:00:00,42.11,44.16,686.23,18.25
2025-01-01 21:00:00,55.42,44.33,794.12,191.68
2025-01-01 22:00:00,52.21,22.23,436.99,151.92
2025-01-01 23:00:00,43.12,58.41,162.03,128.15
2025-01-02 00:00:00,35.3,57.41,169.59,152.05
2025-01-02 01:00:00,18.5,44.92,193.82,145.1
2025-01-02 02:00:00,14.55,82.6,856.4,127.81
2025-01-02 03:00:00,91.48,29.01,919.62,196.13
2025-01-02 04:00:00,82.01,43.11,210.53,180.77
2025-01-02 05:00:00,40.17,42.51,312.32,129.69
2025-01-02 06:00:00,91.33,26.46,248.97,138.94
2025-01-02 07:00:00,67.53,53.68,267.69,11.27
2025-01-02 08:00:00,51.01,68.14,853.74,134.31
2025-01-02 09:00:00,51.91,55.82,398.93,9.79
2025-01-02 10:00:00,17.08,30.99,380.3,118.06
2025-01-02 11:00:00,17.79,46.41,304.66,199.87
2025-01-02 12:00:00,61.21,20.18,647.1,111.61
2025-01-02 13:00:00,57.06,80.78,441.38,95.17
2025-01-02 14:00:00,28.08,25.92,769.82,63.26
2025-01-02 15:00:00,90.43,61.81,285.02,24.98
